section,question_id,question,status,short_answer
Vendor / Infrastructure,subprocessors,Can you provide a list of subprocessors?,yes,"Yes. Production subprocessors include Supabase (database, auth), Vercel (hosting), Stripe (billing), Resend (transactional email), Anthropic (AI generation), Inngest (background jobs), Upstash (rate-limit cache), and Sentry (error tracking). Each row carries a buyer-safe description + data category list. The full list is generated on demand via /api/admin/security/subprocessor-disclosure and is reviewed before sending."
Vendor / Infrastructure,vendor-security-review,Do you review vendor security posture?,manual,"Vendor assurance status is tracked in lib/enterprise/vendor-risk/vendor-registry.ts; every row carries a review owner + review cadence. Legal/security evidence (DPA, SCC, SOC 2, ISO) is collected outside this repository and confirmed against the vendor's current artifacts at the cadence noted on each row. Legal review may be required before contractual representation."
Vendor / Infrastructure,vendor-dpa,Do you have DPAs with vendors?,manual,Vendor DPAs (Data Processing Agreements) and SCCs (Standard Contractual Clauses) are tracked outside the repository as part of vendor contracts. Each registry row defaults to assuranceStatus=
Vendor / Infrastructure,data-processing-location,Where is customer data processed?,yes,Customer data is processed by the production subprocessors disclosed above. Primary database + auth + storage processing happens at Supabase (US region by default; region selection depends on the active Supabase project configuration). Serverless route execution + edge functions run at Vercel (US region by default). AI inference happens at Anthropic. Email delivery happens at Resend. Region selection per vendor can be confirmed against the active vendor configuration.
Vendor / Infrastructure,webhook-security,How are inbound webhooks secured?,yes,Stripe and Resend webhooks verify HMAC signatures before any database mutation. Signature failure rejects the request. The full payload is never logged in plain.
Vendor / Infrastructure,secrets-rotation,What is your secret rotation cadence?,manual,"Per-secret cadence documented in docs/RUNBOOK.md Phase 9E section: quarterly for service-role keys + Stripe + Resend + Anthropic + Supabase anon key; annually for token-signing secrets (digest unsubscribe, tour action, audit IP hash); event-driven for webhook signing secrets."
Privacy / Data Minimization,no-raw-ip,Are raw IP addresses stored?,yes,No raw IPs are stored anywhere in the database. Every audit + abuse + SSO login event row stores a salted-SHA-256 fingerprint via maskIpForAudit. The salt rotates per environment via AUDIT_IP_HASH_SECRET.
Privacy / Data Minimization,pii-redaction-self-service,Can customers request deletion of PII for individual records?,partial,Operators redact lead-level PII via /api/admin/leads/[leadId]/redact-pii on the customer's behalf. Conversation-level PII (message bodies) is not yet redacted independently; that's on the roadmap. There is no customer-facing self-service deletion UI.
Privacy / Data Minimization,data-residency,Where is customer data stored?,yes,Customer data lives in the configured Supabase region (US by default; other regions available per Supabase plan). EU-resident customers can be provisioned on a Supabase EU project on request.
Privacy / Data Minimization,dsr-support,Do you support data subject requests (DSRs)?,yes,"Yes. An operator-controlled DSR workflow tracks access, export, deletion, correction, restrict-processing, and opt-out requests via public.dsr_requests + dsr_timeline_events. Lifecycle: received → triage → identity_verification → in_progress → awaiting_legal_review → fulfilled / denied / cancelled. Every state transition writes a typed audit row. No anonymous DSR intake yet — DSRs are filed by the operator on the subject's behalf today."
Privacy / Data Minimization,dsr-export-delete,Can customers request deletion or export of their data?,partial,Yes via the DSR workflow. The product ships a metadata-only export PREVIEW + a non-destructive deletion REVIEW that enumerates scope; real exports and deletions are performed by the operator under legal review using the existing operator data export + lead-level PII redaction flows. Conversation-level redaction is on the planned-improvements list.
Privacy / Data Minimization,retention-policy,Do you have a data retention policy?,partial,Yes — lib/enterprise/privacy/retention-policy.ts documents per-category windows + reason + deletion behaviour + exceptions + automation status. Auth sessions + digest sends are auto-pruned today; lead / conversation / billing categories are operator-driven; audit / abuse / SSO / incident log retention targets 365 days but the sweeper is not yet wired (currently accumulates).
Privacy / Data Minimization,audit-logs-retained,Do you store audit and security logs?,yes,Yes. Every sensitive write produces a row in public.audit_events with sanitized before/after snapshots + salted-SHA-256 IP fingerprint (Phase 9A). Rate-limit blocks land in public.abuse_events (Phase 9F). SSO initiate/callback outcomes land in public.sso_login_events (Phase 9G). Incident records + timelines + alert deliveries land in the Phase 9L tables. None of these tables stores raw IPs; deletion is restricted because the logs may be required for security or legal review.
Privacy / Data Minimization,automatic-deletion,Do you automatically delete personal data?,partial,Partial. Authentication sessions expire automatically; digest send rows are pruned by the Phase 8AA weekly sweeper. Lead / conversation / tour / billing data is NOT auto-deleted — operator-driven via the existing lead PII redaction flow + DSR workflow. Security / audit / abuse / SSO / incident log retention targets 365 days but the sweeper is not yet wired (currently accumulates). We do NOT silently delete subject data.
Privacy / Data Minimization,no-data-sale,Do you sell customer data?,no,No. VenueRise does not sell customer data. Customer data is processed solely to operate the platform for the venue tenant + the production subprocessors disclosed in the subprocessor list. This is a policy position; legal review is required before a contractual representation.
Privacy / Data Minimization,ai-training-use,Do you use customer data to train AI models?,manual,"VenueRise does NOT train any AI models on customer data internally. AI inference happens at Anthropic (lead qualification + reply drafting + brand-voice calibration). Anthropic's contractual posture on training use (e.g. zero-retention, training exclusion) is governed by the active Anthropic plan and contract; verification of that posture requires legal review of the Anthropic agreement and is not asserted automatically here."
Change Management,schema-migrations,How are schema changes managed?,yes,Every schema change ships as a numbered SQL migration with inline rationale + commented rollback. Migration files live in supabase/migrations/ and are applied via Supabase MCP from a controlled environment. Every audit row carries phase context so an auditor can trace which feature introduced each control.
Change Management,deployment-process,How are deploys handled?,manual,Vercel preview deploys per branch; production deploy on merge to main. Migration application is operator-driven via Supabase MCP. Health flags + ADMIN_ENDPOINT_COUNT drift alert post-deploy.
Change Management,trust-center-available,Do you provide a Trust Center?,yes,"Yes. The public Trust Center at /trust shows a curated security/privacy posture summary, production subprocessor list, incident response posture, backup/DR targets, and explicit known limitations. The page is server-rendered and reviewed before each copy change."
Change Management,trust-center-buyer-access,Can buyers access security documentation under access control?,yes,"Yes. Active procurement reviews can request a bearer-token grant scoped to summary_only / standard_packet / full_packet. Default 14-day expiry, max 90 days, revocable on request. Tokens are stored as a salted-SHA-256 hash; the plaintext is returned ONCE at creation. Operator + legal review is required before sending."
Change Management,trust-center-access-tracking,Do you track access to shared security materials?,yes,"Yes. Every grant creation, revocation, access, artifact download, expiry, and access-denied event lands in public.trust_access_events with a salted-SHA-256 IP + user-agent fingerprint. The TrustAccessGrantsCard surfaces per-grant access counts + last-accessed timestamps; admin CSV export of the event feed is audited."
Change Management,security-documentation-review-cadence,How often do you review security documentation?,partial,A static compliance review policy in lib/enterprise/compliance-ops/policy.ts assigns a cadence (monthly / quarterly / semiannual / annual) to every readiness area: vendor risk + privacy + DR + backup + incident + trust center + questionnaire + evidence pack + SSO + coverage scanners + RBAC + headers + data lifecycle. Operators record completion via the ComplianceCalendarCard. We do NOT claim continuous monitoring.
Change Management,compliance-task-tracking,Do you track recurring compliance tasks?,yes,"Yes. public.compliance_review_events records every operator review with status (upcoming / due / overdue / completed / waived), evidence URL, and review notes. Typed audit actions cover create / seed / complete / waive / update. Owner/admin only."
Change Management,evidence-freshness,How do you ensure evidence remains current?,partial,lib/enterprise/compliance-ops/freshness.ts cross-references the static policy + most-recent completed review timestamp + per-area staleAfterDays threshold to produce a soft stale signal surfaced in the ComplianceCalendarCard. Pack generators (`npm run build:evidence-pack` / `build:questionnaire-pack` / etc.) are operator-triggered to refresh static artifacts.
Change Management,customer-specific-commitment-tracking,Do you track customer-specific security commitments?,yes,Yes. public.contract_commitments + contract_commitment_events back an operator-recorded register. Each row captures buyer identity + source type (MSA / DPA / security addendum / order form / trust grant / email / other) + commitment area + status + risk level + owner + due / review dates + evidence URL. Owner/admin only. Typed audit actions per lifecycle step.
Change Management,unsupported-commitment-prevention,How do you prevent commitments to capabilities you do not support?,partial,"lib/enterprise/commitments/policy.ts encodes per-area support posture (sso: partial, scim: not_supported, availability: partial, incident_response: partial, privacy: partial, data_retention: partial, ai_use: partial, subprocessor: partial, data_residency: partial). When an operator records a commitment in one of these areas, the CommitmentsReadinessCard surfaces a soft warning explaining the gap. Operators are NOT blocked — the warning exists so the gap is rectified with the buyer before marking the commitment active."
Change Management,contract-security-review-management,How are contractual security reviews managed?,partial,Operator-controlled review dates on each commitment row. The compliance operations calendar (Phase 9O) carries a quarterly RBAC matrix review + monthly trust-center copy / artifact review + cadence-driven vendor / privacy / DR reviews. The commitments register surfaces overdue review counts + upcoming reviews; operators record completion via the CommitmentsRegisterCard. Legal review remains an operator + counsel responsibility.
